start
95,9870,-10920
5,1730,-6317,96302,8277
-547,-66,1708,-12127,51082,-13632
-512,-48,1626,-13895,9870,-10920
-512,-48,1626,-13895,9870,-10920
start
0
Success enabling accelero and gyro
Wrong ID for LSM6DSOX sensor. Check that device is plugged
-23,-486,133,40530,-141190,-31045
-23,-486,133,40530,-141190,-31045
-42,-972,264,249690,419195,-117495
-37,-972,264,-4077,26372,13965
-35,-972,270,-14227,43155,20387
-35,-972,270,-4935,5075,15190
-26,-966,274,-4935,5075,15190
-22,-954,281,-3342,-577,16205
-25,-944,291,-3237,-367,17780
-25,-944,291,-3237,-367,17780
-33,-936,304,-2957,-980,18690
-43,-945,312,-2730,-4532,20195
-56,-964,316,-2782,-10622,22627
-56,-964,316,-2782,-10622,22627
-66,-986,313,-3640,-18795,25760
-61,-988,312,-5635,-25952,29610
-45,-967,308,-7980,-28630,34405
-45,-967,308,-7980,-28630,34405
-49,-976,318,-9170,-28070,38780
-57,-1019,323,-9747,-29505,40110
-53,-1058,319,-10605,-34177,40705
-53,-1058,319,-12792,-40530,43942
-22,-1063,309,-12792,-40530,43942
13,-1046,306,-16712,-43732,47915
37,-1026,314,-21245,-38815,46707
42,-1016,323,-23257,-28542,40127
42,-1016,323,-23257,-28542,40127
39,-1025,322,-20300,-21385,31395
40,-1031,303,-13632,-20230,22715
46,-1028,285,-7490,-18795,15050
46,-1028,285,-7490,-18795,15050
54,-1015,278,-5740,-12180,8435
45,-1005,289,-8225,-3150,2082
30,-1009,301,-12407,2467,-5757
30,-1009,301,-12407,2467,-5757
17,-1032,309,-14262,4217,-14350
1,-1067,306,-13422,3745,-22347
-6,-1103,302,-10885,4637,-29365
-6,-1103,302,-10885,4637,-29365
-17,-1109,308,-8907,8802,-35350
-13,-1083,312,-8277,18025,-42297
-26,-1085,324,-6702,29785,-49262
-26,-1085,324,-6702,29785,-49262
-58,-1150,333,-3797,34895,-57382
-98,-1221,307,0,31640,-67305
-116,-1244,290,4620,29295,-76370
-116,-1244,290,4620,29295,-76370
-150,-1242,291,6790,32935,-82250
-153,-1186,299,4742,44817,-84927
-121,-1129,303,3342,60077,-79572
-121,-1129,303,3342,60077,-79572
-61,-1052,283,8347,69737,-66237
-31,-988,259,18165,68197,-54425
-13,-944,244,25025,60690,-55247
-13,-944,244,25025,60690,-55247
-9,-940,242,27107,52465,-65555
-20,-968,239,27317,36890,-75040
-30,-1005,214,27720,11270,-77927
-30,-1005,214,27720,11270,-77927
-52,-1026,172,28385,-14647,-77385
-59,-1030,141,26617,-27877,-78592
-81,-1025,127,20895,-25130,-80797
-81,-1025,127,20895,-25130,-80797
-105,-1018,133,13072,-12005,-83370
-108,-1004,143,7175,5337,-82057
-107,-992,150,6685,21332,-72607
-107,-992,150,6685,21332,-72607
-110,-967,153,10622,27387,-58030
-102,-946,156,15400,22435,-45990
-64,-928,174,18917,16135,-36820
-64,-928,174,18917,16135,-36820
-50,-897,174,20562,7157,-26127
-50,-857,164,20737,-6895,-17430
-37,-815,193,15837,-19547,-11007
-37,-815,193,2100,-26705,-2222
-1,-814,252,2100,-26705,-2222
51,-859,323,-16590,-29050,12215
95,-904,313,-29627,-36365,30887
95,-904,313,-29382,-52885,46497
132,-893,286,-29382,-52885,46497
180,-852,246,-26320,-70262,52447
226,-802,188,-27720,-74357,50347
244,-791,164,-28962,-65117,45955
244,-791,164,-28962,-65117,45955
254,-849,127,-27405,-55020,43785
296,-852,68,-20667,-51852,49140
318,-905,29,-17535,-50295,58817
318,-905,29,-17535,-50295,58817
341,-1008,-18,-21017,-41825,62072
464,-1093,-116,-20002,-30030,62597
582,-1209,-179,-14717,-2257,65082
582,-1209,-179,-14717,-2257,65082
536,-1255,-129,-17675,49787,57452
488,-1271,-54,-22505,88830,39287
417,-1247,-22,-25305,101342,14822
417,-1247,-22,-25305,101342,14822
163,-1182,106,-30590,103897,-19950
243,-1096,153,-30835,92610,-48930
-29,-1023,235,-21822,88812,-38045
-29,-1023,235,-21822,88812,-38045
-16,-922,260,-28280,89985,-42350
15,-943,270,-25112,87937,-30415
1,-983,213,-6352,73430,-437
1,-983,213,-6352,73430,-437
-2,-870,192,22925,38307,25025
-16,-834,165,40145,-7367,40162
3,-830,122,39147,-39130,41090
3,-830,122,39147,-39130,41090
27,-846,94,32900,-54530,40617
56,-874,85,30100,-61145,45937
171,-953,47,30152,-60830,53585
171,-953,47,30152,-60830,53585
291,-1068,-16,27020,-53795,52447
347,-1064,-143,14122,-39550,26162
272,-1050,-82,8767,-6142,2590
272,-1050,-82,8767,-6142,2590
202,-1031,50,2975,32742,-4725
138,-1018,149,-1225,56122,-3727
89,-1010,202,2590,56665,-840
89,-1010,202,2590,56665,-840
68,-985,231,11375,42455,2922
74,-943,218,18882,22400,8505
57,-931,214,21525,8592,14507
57,-931,214,21525,8592,14507
