start
,3957
7,926,23502,-20142,78645
-132,-437,931,20457,-23642,86415
-122,-452,928,16327,-30345,90702
-111,-478,914,13055,-35105,93957
-111,-23502,-20142,78645
-132,-437,931,20457,-23642,86415
-122,-452,928,16327,-30345,90702
-111,-478,914,13055,-35105,93957
0
Success enabling accelero and gyro
Wrong ID for LSM6DSOX sensor. Check that device is plugged
-58,-470,210,45605,-135957,-45797
-58,-470,210,45605,-135957,-45797
-114,-936,421,271740,424917,-146790
-108,-939,411,2082,6072,8137
-98,-940,401,-6825,20615,11322
-98,-940,401,4182,-14000,5372
-92,-944,401,4182,-14000,5372
-83,-946,398,6125,-16135,5197
-79,-951,396,6475,-15295,4987
-79,-951,396,6475,-15295,4987
-72,-953,399,6125,-13440,4252
-73,-956,399,5320,-11077,4025
-76,-957,395,4812,-8172,3832
-76,-957,395,4812,-8172,3832
-77,-958,402,4602,-5530,3430
-77,-956,402,3867,-6650,2607
-75,-951,399,3150,-10080,700
-75,-951,399,3150,-10080,700
-75,-947,397,1942,-12057,-1855
-76,-945,398,420,-11725,-3920
-78,-946,403,-612,-10185,-4602
-78,-946,403,-612,-10185,-4602
-79,-945,408,-1067,-7770,-3710
-82,-942,413,-1592,-6125,-2170
-83,-941,416,-2292,-6965,-1225
-83,-941,416,-2292,-6965,-1225
-84,-942,414,-2765,-8855,-1312
-86,-943,417,-2450,-11165,-2240
-80,-945,412,-2117,-12285,-2660
-80,-945,412,-2117,-12285,-2660
-76,-945,407,-1435,-9065,-1417
-77,-943,414,-682,-4865,735
-74,-943,414,-857,-4637,2100
-74,-943,414,-857,-4637,2100
-69,-946,407,-1417,-6475,1995
-68,-950,404,-1610,-6440,1120
-73,-951,406,-1172,-6020,-17
-73,-951,406,-1172,-6020,-17
-76,-953,409,-490,-7770,-1697
-74,-958,408,-175,-10482,-3080
-64,-956,400,-227,-9730,-2887
-64,-956,400,-227,-9730,-2887
-67,-953,401,105,-5005,-1120
-74,-948,405,787,-1872,-472
-74,-944,411,1382,-2870,-1470
-74,-944,411,1382,-2870,-1470
-74,-944,406,1207,-5145,-2362
-74,-943,408,752,-6667,-2537
-77,-944,405,140,-8732,-2415
-77,-944,405,140,-8732,-2415
-73,-944,408,-122,-11620,-2572
-71,-945,404,-437,-13685,-2800
-71,-945,404,-367,-13930,-2940
-67,-949,405,-367,-13930,-2940
-64,-951,401,-140,-12705,-2380
-64,-951,405,157,-11620,-1470
-64,-951,405,262,-12722,-1137
-66,-952,409,262,-12722,-1137
-66,-950,416,367,-14280,-1225
-58,-944,420,490,-15960,-770
-58,-944,420,490,-15960,-770
-46,-944,406,1277,-16415,927
-39,-945,404,2257,-12390,2572
-43,-950,407,2152,-7577,2765
-43,-950,407,2152,-7577,2765
-46,-952,411,1400,-5495,1487
-47,-952,408,927,-5285,735
-49,-951,412,822,-5635,612
-49,-951,412,822,-5635,612
-47,-950,407,752,-6492,0
-45,-948,402,1050,-5985,-840
-48,-949,403,1400,-4602,-1627
-48,-949,403,1400,-4602,-1627
-56,-950,406,1032,-4042,-2397
-58,-948,409,385,-4952,-2835
-61,-947,411,-280,-7700,-2800
-61,-947,411,-280,-7700,-2800
-54,-943,409,-927,-10360,-2957
-49,-944,404,-1312,-10272,-2380
-58,-946,409,-1120,-7577,-1697
-58,-946,409,-1120,-7577,-1697
-66,-943,423,-17,-8610,-1942
-56,-943,424,892,-16887,-2835
-40,-946,406,735,-23310,-3202
-40,-946,406,735,-23310,-3202
-31,-946,398,367,-20160,-2135
-30,-945,402,70,-11690,-542
-32,-943,415,210,-4760,682
-32,-943,415,210,-4760,682
-34,-946,416,577,-3797,1575
-33,-951,413,910,-5722,1540
-31,-957,409,472,-8015,542
-31,-957,409,472,-8015,542
-31,-957,407,-17,-8925,-490
-29,-954,403,122,-8277,-980
-29,-954,403,122,-8277,-980
-32,-951,401,997,-5460,-1067
-35,-947,405,1890,-2345,-1102
-39,-944,411,1907,-2327,-1120
-39,-944,411,1907,-2327,-1120
-35,-944,408,612,-4515,-1207
-35,-943,408,-927,-5950,-910
-37,-943,404,-1872,-6545,-752
-37,-943,404,-1872,-6545,-752
-37,-945,410,-1627,-5897,-962
-37,-948,411,-1067,-5145,-735
-38,-950,412,-612,-5005,-140
-38,-950,412,-612,-5005,-140
-37,-953,411,-787,-6702,-17
-31,-952,407,-1470,-8172,-280
-31,-953,404,-1890,-7840,-525
-31,-953,404,-1890,-7840,-525
-31,-951,404,-1592,-6492,-875
-32,-950,407,-682,-5302,-945
-29,-948,406,-367,-6020,-892
-29,-948,406,-367,-6020,-892
-26,-948,402,-980,-6755,-980
-28,-948,400,-1592,-5477,-1347
-35,-948,409,-1907,-3885,-1732
-35,-948,409,-1907,-3885,-1732
-34,-950,414,-1645,-5337,-1785
-31,-952,407,-805,-7525,-1172
-29,-952,402,0,-7367,-630
-29,-952,402,0,-7367,-630
-26,-951,400,280,-5722,-717
-25,-953,396,175,-4427,-717
-25,-953,396,175,-4427,-717
-27,-954,394,-367,-3675,-682
-30,-951,397,-787,-3272,-1067
-30,-950,400,-1120,-3535,-1522
-30,-950,400,-1120,-3535,-1522
-27,-948,401,-1242,-3640,-1330
-28,-949,403,-857,-4147,-437
-26,-952,401,-770,-5862,-87
-26,-952,401,-770,-5862,-87
-25,-954,398,-1242,-5897,-210
-27,-952,402,-1540,-4340,-297
-28,-952,401,-1295,-3202,-210
-28,-952,401,-1295,-3202,-210
